Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,SO2
Brazil,Rio Brilhante,38,Good,1,Good,13,Good,0,Good,38,Good,-21.8019,-54.5458,0
India,Rishra,222,Unhealthy,12,Good,1,Good,28,Good,222,Very Unhealthy,22.71,88.35,21
Turkey,Rize,44,Good,1,Good,37,Good,0,Good,44,Good,41.0247,40.5222,1
Poland,Opole,51,Moderate,1,Good,45,Good,0,Good,51,Moderate,50.6667,17.9333,5
Russian Federation,Orsk,136,Unhealthy,1,Good,34,Good,1,Good,136,Unhealthy for Sensitive Groups,51.2,58.5667,1
Russian Federation,Otradnyy,42,Good,1,Good,42,Good,0,Good,13,Good,53.3667,51.35,0
Romania,Ovidiu,42,Good,1,Good,42,Good,0,Good,39,Good,44.27,28.56,1
Poland,Pabianice,46,Good,1,Good,41,Good,1,Good,46,Good,51.65,19.3833,1
India,Pallapatti,82,Moderate,2,Good,21,Good,4,Good,82,Moderate,9.4664,77.8219,4
Italy,Pinerolo,69,Moderate,1,Good,47,Good,0,Good,69,Moderate,44.8873,7.3319,1
Nepal,Pokhara,94,Moderate,2,Good,24,Good,1,Good,94,Moderate,28.2083,83.9889,1
Poland,Polkowice,44,Good,1,Good,44,Good,0,Good,37,Good,51.5,16.0667,1
Russian Federation,Poronaysk,29,Good,2,Good,29,Good,3,Good,17,Good,49.2167,143.1167,1
Panama,Puerto Armuelles,29,Good,1,Good,29,Good,0,Good,29,Good,8.2833,-82.8667,1
India,Puruliya,146,Unhealthy,3,Good,35,Good,5,Good,146,Unhealthy for Sensitive Groups,23.3333,86.3667,12
Myanmar,Pyapon,32,Good,1,Good,29,Good,0,Good,32,Good,16.286,95.6658,4
United States of America,Peabody,45,Good,1,Good,38,Good,1,Good,45,Good,42.5335,-70.9725,1
Russian Federation,Pechora,17,Good,1,Good,17,Good,1,Good,17,Good,65.1667,57.25,0
Brazil,Penedo,23,Good,0,Good,23,Good,0,Good,10,Good,-10.29,-36.5858,0
United Kingdom of Great Britain and Northern Ireland,Penzance,35,Good,1,Good,28,Good,6,Good,35,Good,50.119,-5.537,1
Argentina,Pergamino,33,Good,1,Good,23,Good,1,Good,33,Good,-33.8836,-60.5669,1
Italy,Pescia,73,Moderate,1,Good,73,Moderate,0,Good,40,Good,43.9017,10.6898,1
Pakistan,Peshawar,192,Unhealthy,4,Good,107,Unhealthy for Sensitive Groups,4,Good,192,Unhealthy,34.0144,71.5675,2
United States of America,Westminster,95,Moderate,3,Good,13,Good,25,Good,95,Moderate,51.4947,-0.1353,1
United States of America,Westminster,95,Moderate,3,Good,13,Good,25,Good,95,Moderate,39.8837,-105.0624,1
United States of America,Westminster,95,Moderate,3,Good,13,Good,25,Good,95,Moderate,33.7523,-117.9938,7
United States of America,Westminster,95,Moderate,3,Good,13,Good,25,Good,95,Moderate,39.5796,-77.0067,2
Germany,Wilhelmshaven,52,Moderate,1,Good,24,Good,5,Good,52,Moderate,53.5286,8.1056,1
China,Xinmin,69,Moderate,2,Good,69,Moderate,1,Good,50,Good,41.9952,122.8224,4
China,Xinmin,69,Moderate,2,Good,69,Moderate,1,Good,50,Good,35.118,108.0986,5
China,Xinmin,69,Moderate,2,Good,69,Moderate,1,Good,50,Good,25.4831,104.8416,5
Brasil,Vila Velha,57,Moderate,1,Good,15,Good,2,Good,57,Moderate,3.2167,-51.2167,1
Brasil,Vila Velha,57,Moderate,1,Good,15,Good,2,Good,57,Moderate,-20.3364,-40.2936,1
Brazil,Volta Redonda,125,Unhealthy,4,Good,2,Good,9,Good,125,Unhealthy for Sensitive Groups,-22.5228,-44.1039,7
Ukraine,Vyshhorod,39,Good,1,Good,39,Good,1,Good,37,Good,50.5833,30.4853,1
United States of America,Wabash,62,Moderate,2,Good,22,Good,13,Good,62,Moderate,40.8034,-85.8301,1
Germany,Walsrode,63,Moderate,1,Good,40,Good,3,Good,63,Moderate,52.8667,9.5833,2
Germany,Halstenbek,33,Good,0,Good,33,Good,1,Good,31,Good,53.6334,9.8372,1
United States of America,Hanover Park,60,Moderate,2,Good,27,Good,14,Good,60,Moderate,41.9818,-88.1446,1
Japan,Hasuda,45,Good,1,Good,44,Good,4,Good,45,Good,35.9945,139.6624,21
Germany,Hessisch Oldendorf,38,Good,0,Good,33,Good,1,Good,38,Good,52.1667,9.25,3
United States of America,Goodyear,52,Moderate,1,Good,20,Good,9,Good,52,Moderate,33.2614,-112.3622,2
Italy,Gorgonzola,63,Moderate,1,Good,36,Good,4,Good,63,Moderate,45.5333,9.4,1
Germany,Gotha,30,Good,0,Good,30,Good,1,Good,30,Good,50.9489,10.7183,1
United Kingdom of Great Britain and Northern Ireland,Ilkeston,52,Moderate,1,Good,11,Good,12,Good,52,Moderate,52.971,-1.309,1
Germany,Ilmenau,29,Good,0,Good,29,Good,1,Good,28,Good,50.6839,10.9194,1
Russian Federation,Ipatovo,40,Good,1,Good,40,Good,0,Good,23,Good,45.7167,42.9,1
Brazil,Ituiutaba,25,Good,1,Good,10,Good,1,Good,25,Good,-18.9667,-49.4667,1
United States of America,Lake Wales,48,Good,1,Good,17,Good,11,Good,48,Good,27.9195,-81.5961,1
Brazil,Leme,67,Moderate,2,Good,9,Good,5,Good,67,Moderate,-22.1861,-47.3906,4
United States of America,Lilburn,60,Moderate,2,Good,34,Good,7,Good,60,Moderate,33.8897,-84.1364,2
United Kingdom of Great Britain and Northern Ireland,Litherland,27,Good,1,Good,25,Good,3,Good,27,Good,53.4727,-2.999,1
United States of America,Little Elm,59,Moderate,1,Good,20,Good,6,Good,59,Moderate,33.1858,-96.9295,1
United Kingdom of Great Britain and Northern Ireland,London,40,Good,1,Good,11,Good,11,Good,40,Good,51.5072,-0.1275,1
United Kingdom of Great Britain and Northern Ireland,London,40,Good,1,Good,11,Good,11,Good,40,Good,42.9836,-81.2497,1
United Kingdom of Great Britain and Northern Ireland,London,40,Good,1,Good,11,Good,11,Good,40,Good,39.8935,-83.4375,1
France,Lons,36,Good,1,Good,36,Good,1,Good,25,Good,43.315,-0.4108,1
Belgium,Lubbeek,35,Good,1,Good,26,Good,3,Good,35,Good,50.8817,4.8414,3
Estonia,Maardu,23,Good,1,Good,23,Good,7,Good,20,Good,59.4781,25.0161,1
Thailand,Maha Sarakham,58,Moderate,0,Good,28,Good,0,Good,58,Moderate,16.1772,103.3008,1
Belgium,Maldegem,32,Good,0,Good,32,Good,1,Good,31,Good,51.2,3.4333,4
Italy,Manerbio,70,Moderate,1,Good,38,Good,4,Good,70,Moderate,45.3667,10.1333,2
Brazil,Mantena,29,Good,1,Good,8,Good,2,Good,29,Good,-18.7819,-40.98,0
Russian Federation,Kholmsk,33,Good,0,Good,33,Good,0,Good,7,Good,47.05,142.05,0
Germany,Kirchlengern,36,Good,0,Good,27,Good,2,Good,36,Good,52.2,8.6331,2
Democratic Republic of the Congo,Kisangani,166,Unhealthy,6,Good,15,Good,3,Good,166,Unhealthy,0.5153,25.1911,0
Niger,Kollo,39,Good,2,Good,18,Good,1,Good,39,Good,13.0167,1.8833,0
Russian Federation,Kotovsk,41,Good,1,Good,30,Good,1,Good,41,Good,52.5833,41.5167,1
Mali,Koulikoro,52,Moderate,1,Good,10,Good,0,Good,52,Moderate,12.8833,-7.55,0
Switzerland,Kriens,31,Good,1,Good,23,Good,2,Good,31,Good,47.0333,8.2833,1
Poland,Kwidzyn,30,Good,1,Good,30,Good,1,Good,28,Good,53.7358,18.9308,1
United States of America,La Quinta,58,Moderate,1,Good,37,Good,3,Good,58,Moderate,33.6536,-116.2785,1
Colombia,La Tebaida,93,Moderate,2,Good,0,Good,7,Good,93,Moderate,4.45,-75.8,2
Brazil,Lagarto,26,Good,0,Good,15,Good,1,Good,26,Good,-10.9169,-37.65,1
Brazil,Lagoa Vermelha,15,Good,0,Good,15,Good,0,Good,12,Good,-28.2089,-51.5258,1
Japan,Habikino,47,Good,1,Good,47,Good,0,Good,23,Good,34.55,135.6,8
United States of America,Hammond,61,Moderate,1,Good,18,Good,6,Good,61,Moderate,41.6168,-87.4909,1
United States of America,Hammond,61,Moderate,1,Good,18,Good,6,Good,61,Moderate,30.5061,-90.4563,2
United States of America,Hamtramck,150,Unhealthy,4,Good,9,Good,25,Good,150,Unhealthy,42.3954,-83.0559,4
China,Hanchuan,163,Unhealthy,5,Good,163,Unhealthy,5,Good,157,Unhealthy,30.652,113.8274,11
Denmark,Haslev,36,Good,0,Good,33,Good,0,Good,36,Good,55.3333,11.9667,1
United States of America,Helena,23,Good,1,Good,16,Good,3,Good,23,Good,46.5965,-112.0202,3
United States of America,Helena,23,Good,1,Good,16,Good,3,Good,23,Good,33.2837,-86.8791,1
Japan,Hikone,46,Good,1,Good,46,Good,0,Good,23,Good,35.2667,136.2667,8
United States of America,Huntington,63,Moderate,1,Good,23,Good,16,Good,63,Moderate,40.8521,-73.3823,3
United States of America,Huntington,63,Moderate,1,Good,23,Good,16,Good,63,Moderate,38.4109,-82.4345,3
United States of America,Huntington,63,Moderate,1,Good,23,Good,16,Good,63,Moderate,38.7916,-77.074,3
United States of America,Huntington,63,Moderate,1,Good,23,Good,16,Good,63,Moderate,40.881,-85.5063,3
United States of America,Huntington,63,Moderate,1,Good,23,Good,16,Good,63,Moderate,53.9926,-1.043,3
Brazil,Ibotirama,19,Good,0,Good,11,Good,1,Good,19,Good,-12.185,-43.2208,0
Brasil,Ilhabela,65,Moderate,2,Good,10,Good,7,Good,65,Moderate,-23.7778,-45.3578,3
Thailand,Kamphaeng Phet,162,Unhealthy,1,Good,25,Good,0,Good,162,Unhealthy,16.4811,99.5222,1
Uganda,Kapchorwa,69,Moderate,2,Good,27,Good,0,Good,69,Moderate,1.4,34.45,2
Russian Federation,Karasuk,32,Good,1,Good,32,Good,0,Good,25,Good,53.7167,78.05,1
Sweden,Karlshamn,34,Good,1,Good,34,Good,0,Good,30,Good,56.1667,14.85,1
Japan,Kashima,59,Moderate,1,Good,59,Moderate,0,Good,23,Good,35.9656,140.6448,3
Japan,Kashima,59,Moderate,1,Good,59,Moderate,0,Good,23,Good,33.1036,130.0989,8
Belgium,Kasterlee,31,Good,0,Good,29,Good,2,Good,31,Good,51.25,4.95,1
Japan,Katano,46,Good,1,Good,46,Good,0,Good,24,Good,34.7833,135.6833,7
Israel,Kefar Yona,93,Moderate,1,Good,44,Good,7,Good,93,Moderate,32.3171,34.9358,2
Canada,Kenora,54,Moderate,1,Good,34,Good,0,Good,54,Moderate,49.7667,-94.4833,1
Canada,Kentville,57,Moderate,1,Good,50,Good,0,Good,57,Moderate,45.0775,-64.4958,1
Netherlands,Kerkrade,35,Good,1,Good,22,Good,3,Good,35,Good,50.8667,6.0667,1
Pakistan,Jacobabad,168,Unhealthy,1,Good,67,Moderate,1,Good,168,Unhealthy,28.2769,68.4514,0
Somalia,Jilib,28,Good,0,Good,20,Good,0,Good,28,Good,0.5,42.7667,0
South Sudan,Juba,51,Moderate,1,Good,22,Good,0,Good,51,Moderate,4.85,31.6,1
Senegal,Kaffrine,151,Unhealthy,1,Good,26,Good,2,Good,151,Unhealthy,14.1014,-15.5432,2
Japan,Kamo,41,Good,1,Good,41,Good,0,Good,30,Good,37.6663,139.0402,4
Germany,Abensberg,54,Moderate,1,Good,38,Good,3,Good,54,Moderate,48.8,11.85,2
C̫te d'Ivoire,Aboisso,55,Moderate,2,Good,23,Good,1,Good,55,Moderate,5.4667,-3.2,2
Australia,Adelaide,44,Good,0,Good,24,Good,1,Good,44,Good,-34.9275,138.6,22
Romania,Adjud,36,Good,1,Good,36,Good,0,Good,16,Good,46.1,27.1797,1
Italy,Agropoli,48,Good,1,Good,48,Good,0,Good,48,Good,40.35,14.9833,1
Italia,Albenga,74,Moderate,1,Good,45,Good,1,Good,74,Moderate,44.05,8.2167,1
United States of America,Albertville,69,Moderate,2,Good,35,Good,4,Good,69,Moderate,34.2633,-86.2108,1
United States of America,Albertville,69,Moderate,2,Good,35,Good,4,Good,69,Moderate,45.6758,6.3925,1
Mexico,Aldama,94,Moderate,1,Good,18,Good,1,Good,94,Moderate,28.8386,-105.9111,5
Mexico,Aldama,94,Moderate,1,Good,18,Good,1,Good,94,Moderate,22.9194,-98.0736,1
Canada,Ingersoll,34,Good,1,Good,31,Good,3,Good,34,Good,43.0392,-80.8836,1
United Kingdom of Great Britain and Northern Ireland,Ipswich,31,Good,0,Good,31,Good,2,Good,12,Good,52.0594,1.1556,1
United Kingdom of Great Britain and Northern Ireland,Ipswich,31,Good,0,Good,31,Good,2,Good,12,Good,-27.6167,152.7667,0
United Kingdom of Great Britain and Northern Ireland,Ipswich,31,Good,0,Good,31,Good,2,Good,12,Good,42.6857,-70.8399,1
Japan,Iwanuma,43,Good,1,Good,41,Good,1,Good,43,Good,38.1043,140.8702,2
India,Jalor,198,Unhealthy,1,Good,34,Good,0,Good,198,Unhealthy,25.35,72.6167,3
Poland,Jaworzno,85,Moderate,1,Good,41,Good,2,Good,85,Moderate,50.2044,19.27,5
Guatemala,Jocotenango,126,Unhealthy,3,Good,2,Good,11,Good,126,Unhealthy for Sensitive Groups,14.5868,-90.7444,2
Spain,Jumilla,32,Good,1,Good,32,Good,0,Good,20,Good,38.4792,-1.325,1
Uganda,Kaberamaido,68,Moderate,2,Good,21,Good,0,Good,68,Moderate,1.7667,33.1522,0
United Republic of Tanzania,Kahama,15,Good,1,Good,15,Good,0,Good,15,Good,-3.8375,32.6,0
Thailand,Kalasin,43,Good,1,Good,28,Good,0,Good,43,Good,16.4342,103.5092,4
Ukraine,Kalush,54,Moderate,1,Good,31,Good,2,Good,54,Moderate,49.0442,24.3597,1
Republic of North Macedonia,Gostivar,52,Moderate,1,Good,41,Good,0,Good,52,Moderate,41.8,20.9167,1
United States of America,Greenfield,50,Good,1,Good,29,Good,9,Good,50,Good,36.3242,-121.2428,4
United States of America,Greenfield,50,Good,1,Good,29,Good,9,Good,50,Good,42.9619,-88.0052,3
United States of America,Greenfield,50,Good,1,Good,29,Good,9,Good,50,Good,39.7937,-85.7738,3
Brazil,Guararema,159,Unhealthy,6,Good,1,Good,16,Good,159,Unhealthy,-23.415,-46.035,1
United States of America,Guttenberg,116,Unhealthy,3,Good,11,Good,31,Good,116,Unhealthy for Sensitive Groups,40.7928,-74.0049,5
Zimbabwe,Gwanda,53,Moderate,2,Good,16,Good,1,Good,53,Moderate,-20.9389,29.0186,1
Japan,Hagi,38,Good,1,Good,38,Good,0,Good,18,Good,34.4,131.4,2
China,Hailin,62,Moderate,1,Good,42,Good,0,Good,62,Moderate,44.5735,129.3825,1
Japan,Hakui,56,Moderate,1,Good,56,Moderate,1,Good,30,Good,36.8936,136.779,1
United States of America,Hawaiian Gardens,97,Moderate,3,Good,6,Good,34,Good,97,Moderate,33.8304,-118.0728,1
United States of America,Henderson,52,Moderate,1,Good,35,Good,6,Good,52,Moderate,36.0133,-115.0381,2
United States of America,Henderson,52,Moderate,1,Good,35,Good,6,Good,52,Moderate,37.8397,-87.5798,3
United States of America,Henderson,52,Moderate,1,Good,35,Good,6,Good,52,Moderate,36.3256,-78.4151,3
United States of America,Henderson,52,Moderate,1,Good,35,Good,6,Good,52,Moderate,32.1576,-94.796,3
United States of America,Henderson,52,Moderate,1,Good,35,Good,6,Good,52,Moderate,-36.2833,-61.7167,1
Uruguay,Fray Bentos,38,Good,1,Good,14,Good,1,Good,38,Good,-33.1333,-58.3,0
Germany,Freising,51,Moderate,1,Good,43,Good,2,Good,51,Moderate,48.4028,11.7489,0
Nigeria,Funtua,65,Moderate,2,Good,22,Good,1,Good,65,Moderate,11.5204,7.32,1
China,Fuyang,149,Unhealthy,3,Good,149,Unhealthy for Sensitive Groups,3,Good,132,Unhealthy for Sensitive Groups,32.8986,115.8045,7
China,Fuyang,149,Unhealthy,3,Good,149,Unhealthy for Sensitive Groups,3,Good,132,Unhealthy for Sensitive Groups,30.0553,119.95,24
Sri Lanka,Galle,41,Good,0,Good,21,Good,0,Good,41,Good,6.0536,80.2117,1
Sri Lanka,Gampola,54,Moderate,0,Good,18,Good,1,Good,54,Moderate,7.1647,80.5767,1
Nigeria,Gashua,94,Moderate,2,Good,35,Good,1,Good,94,Moderate,12.8681,11.0464,1
Italy,Gavardo,58,Moderate,2,Good,27,Good,6,Good,58,Moderate,45.5875,10.4389,1
Germany,Gifhorn,35,Good,0,Good,35,Good,1,Good,28,Good,52.4886,10.5464,2
Germany,Gilching,48,Good,1,Good,42,Good,2,Good,48,Good,48.1103,11.3011,1
United States of America,Holladay,48,Good,1,Good,15,Good,11,Good,48,Good,40.66,-111.8226,1
United States of America,Hope Mills,55,Moderate,2,Good,35,Good,5,Good,55,Moderate,34.971,-78.9597,1
United States of America,Hopkinsville,66,Moderate,2,Good,43,Good,6,Good,66,Moderate,36.8381,-87.4775,2
Belarus,Horki,32,Good,1,Good,32,Good,0,Good,12,Good,54.2667,30.9833,1
Russian Federation,Iglino,41,Good,1,Good,31,Good,2,Good,41,Good,54.8385,56.4232,0
Sri Lanka,Colombo,56,Moderate,0,Good,27,Good,0,Good,56,Moderate,6.9344,79.8428,4
Sri Lanka,Colombo,56,Moderate,0,Good,27,Good,0,Good,56,Moderate,-25.2919,-49.2239,5
United States of America,Compton,117,Unhealthy,4,Good,8,Good,35,Good,117,Unhealthy for Sensitive Groups,33.893,-118.2274,5
Brazil,Correia Pinto,18,Good,0,Good,18,Good,0,Good,14,Good,-27.585,-50.3608,2
United Kingdom of Great Britain and Northern Ireland,Coventry,30,Good,0,Good,30,Good,1,Good,25,Good,52.4081,-1.5106,1
United Kingdom of Great Britain and Northern Ireland,Coventry,30,Good,0,Good,30,Good,1,Good,25,Good,41.6934,-71.6611,0
United Kingdom of Great Britain and Northern Ireland,Coventry,30,Good,0,Good,30,Good,1,Good,25,Good,41.7828,-72.3394,0
United States of America,Cranston,71,Moderate,1,Good,44,Good,5,Good,71,Moderate,41.7658,-71.4858,1
France,Cusset,39,Good,1,Good,29,Good,1,Good,39,Good,46.1344,3.4564,0
Germany,Gladenbach,32,Good,1,Good,32,Good,3,Good,32,Good,50.7681,8.5828,3
India,Gorakhpur,296,Unhealthy,3,Good,161,Unhealthy,1,Good,296,Very Unhealthy,26.7637,83.4039,5
Russian Federation,Gorokhovets,30,Good,1,Good,30,Good,0,Good,12,Good,56.2,42.7,1
Germany,Goslar,38,Good,1,Good,38,Good,1,Good,25,Good,51.9072,10.43,2
United States of America,Grand Terrace,79,Moderate,2,Good,9,Good,20,Good,79,Moderate,34.0312,-117.3132,4
United Kingdom of Great Britain and Northern Ireland,Grantham,29,Good,0,Good,29,Good,1,Good,28,Good,52.918,-0.638,1
Brazil,Guanambi,13,Good,0,Good,11,Good,0,Good,13,Good,-14.2228,-42.7808,0
China,Guangyuan,158,Unhealthy,4,Good,157,Unhealthy,1,Good,158,Unhealthy,32.4353,105.8398,4
Venezuela (Bolivarian Republic of),Guatire,51,Moderate,1,Good,19,Good,3,Good,51,Moderate,10.4717,-66.5406,2
France,Franconville,50,Good,1,Good,19,Good,5,Good,50,Good,48.9889,2.2314,2
United States of America,Franklin Lakes,52,Moderate,1,Good,44,Good,4,Good,52,Moderate,41.0086,-74.2083,1
Switzerland,Frauenfeld,41,Good,1,Good,27,Good,2,Good,41,Good,47.55,8.9,1
United States of America,Fredonia,35,Good,1,Good,32,Good,4,Good,35,Good,5.9167,-75.6667,1
United States of America,Fredonia,35,Good,1,Good,32,Good,4,Good,35,Good,42.4407,-79.3319,2
Mexico,Frontera,106,Unhealthy,3,Good,20,Good,4,Good,106,Unhealthy for Sensitive Groups,26.926,-101.449,5
Mexico,Frontera,106,Unhealthy,3,Good,20,Good,4,Good,106,Unhealthy for Sensitive Groups,18.5336,-92.6469,1
Mexico,Frontera,106,Unhealthy,3,Good,20,Good,4,Good,106,Unhealthy for Sensitive Groups,-31.4278,-62.0619,1
Portugal,Funchal,35,Good,0,Good,35,Good,0,Good,17,Good,32.65,-16.9167,2
Lithuania,Garliava,46,Good,1,Good,33,Good,0,Good,46,Good,54.8167,23.8667,0
Indonesia,Garut,69,Moderate,1,Good,33,Good,1,Good,69,Moderate,-7.2167,107.9,4
Italy,Giaveno,39,Good,1,Good,30,Good,1,Good,39,Good,45.042,7.352,1
Germany,Erkrath,33,Good,1,Good,33,Good,2,Good,30,Good,51.2239,6.9147,3
United States of America,Escanaba,32,Good,1,Good,32,Good,1,Good,29,Good,45.7477,-87.09,1
Belgium,Esneux,43,Good,1,Good,26,Good,4,Good,43,Good,50.5333,5.5667,2
United States of America,Evans,70,Moderate,2,Good,8,Good,13,Good,70,Moderate,33.5619,-82.1351,9
United States of America,Evans,70,Moderate,2,Good,8,Good,13,Good,70,Moderate,40.366,-104.739,1
United States of America,Evans,70,Moderate,2,Good,8,Good,13,Good,70,Moderate,42.6528,-79.0063,1
United States of America,Evansville,63,Moderate,2,Good,28,Good,14,Good,63,Moderate,37.9881,-87.5341,1
United States of America,Fair Lawn,56,Moderate,1,Good,43,Good,5,Good,56,Moderate,40.9359,-74.1177,1
United States of America,Fairland,54,Moderate,1,Good,43,Good,5,Good,54,Moderate,39.0803,-76.9527,12
Belgium,Florennes,41,Good,1,Good,23,Good,4,Good,41,Good,50.2514,4.6044,2
Guatemala,Flores Costa Cuca,100,Unhealthy,3,Good,13,Good,11,Good,100,Unhealthy for Sensitive Groups,14.65,-91.8167,1
Cambodia,Kampong Chhnang,21,Good,0,Good,16,Good,0,Good,21,Good,12.25,104.6667,5
Russian Federation,Kamyshlov,32,Good,1,Good,32,Good,0,Good,23,Good,56.8333,62.7167,0
Indonesia,Karawang,124,Unhealthy,3,Good,124,Unhealthy for Sensitive Groups,1,Good,91,Moderate,-6.3125,107.295,9
Czechia,Karlovy Vary,68,Moderate,1,Good,33,Good,4,Good,68,Moderate,50.2306,12.8725,1
Turkey,Kars,40,Good,0,Good,40,Good,0,Good,31,Good,40.6078,43.0958,0
Bulgaria,Kavarna,44,Good,1,Good,44,Good,0,Good,41,Good,43.4333,28.3333,1
Kyrgyzstan,Kemin,78,Moderate,0,Good,43,Good,0,Good,78,Moderate,42.7861,75.6917,4
Finland,Kempele,31,Good,1,Good,31,Good,1,Good,11,Good,64.9125,25.5083,1
Ireland,Drogheda,58,Moderate,1,Good,24,Good,4,Good,58,Moderate,53.715,-6.3525,1
Russian Federation,Dubovka,38,Good,1,Good,38,Good,0,Good,9,Good,49.05,44.8333,0
South Africa,Durban,90,Moderate,3,Good,25,Good,4,Good,90,Moderate,-29.8833,31.05,28
Italy,Eboli,45,Good,1,Good,45,Good,1,Good,42,Good,40.6169,15.0564,1
Colombia,El Copey,69,Moderate,2,Good,8,Good,4,Good,69,Moderate,10.15,-73.9667,0
Pakistan,Kundian,174,Unhealthy,3,Good,139,Unhealthy for Sensitive Groups,0,Good,174,Unhealthy,32.4522,71.4718,6
Japan,Kurume,33,Good,1,Good,33,Good,1,Good,14,Good,33.3167,130.5167,46
Dominican Republic,La Romana,125,Unhealthy,1,Good,18,Good,2,Good,125,Unhealthy for Sensitive Groups,18.43,-68.97,1
Bangladesh,Khulna,53,Moderate,1,Good,29,Good,1,Good,53,Moderate,22.8167,89.55,4
United Kingdom of Great Britain and Northern Ireland,Kingswood,32,Good,1,Good,23,Good,6,Good,32,Good,51.46,-2.505,2
India,Kishanganj,62,Moderate,2,Good,42,Good,1,Good,62,Moderate,26.0794,87.9372,2
India,Kishanganj,62,Moderate,2,Good,42,Good,1,Good,62,Moderate,25.6844,86.9509,2
Denmark,Kolding,38,Good,1,Good,38,Good,1,Good,38,Good,55.4917,9.5,0
Bulgaria,Kostinbrod,83,Moderate,1,Good,46,Good,1,Good,83,Moderate,42.8167,23.2167,3
Russian Federation,Kovrov,52,Moderate,1,Good,28,Good,4,Good,52,Moderate,56.3683,41.3108,1
Italy,Favara,52,Moderate,1,Good,34,Good,4,Good,52,Moderate,37.3186,13.6631,1
Italy,Figline Valdarno,36,Good,1,Good,36,Good,2,Good,19,Good,43.6167,11.4667,1
United States of America,Flagstaff,39,Good,1,Good,25,Good,2,Good,39,Good,35.1872,-111.6194,2
Brasil,Praia Grande,154,Unhealthy,4,Good,1,Good,21,Good,154,Unhealthy,-24.0061,-46.4028,1
Russian Federation,Progress,35,Good,1,Good,35,Good,0,Good,24,Good,40.2901,-76.8394,9
Russian Federation,Progress,35,Good,1,Good,35,Good,0,Good,24,Good,49.7504,129.6167,1
India,Pulgaon,154,Unhealthy,0,Good,29,Good,0,Good,154,Unhealthy,20.726,78.317,1
Philippines,Pulilan,63,Moderate,1,Good,23,Good,1,Good,63,Moderate,14.902,120.849,12
Netherlands,Putten,35,Good,0,Good,34,Good,1,Good,35,Good,52.2667,5.6,1
Iran (Islamic Republic of),Qeshm,150,Unhealthy,1,Good,75,Moderate,0,Good,150,Unhealthy,26.9581,56.2719,10
Germany,Radebeul,50,Good,1,Good,27,Good,4,Good,50,Good,51.1,13.65,4
United States of America,Rancho Santa Margarita,68,Moderate,2,Good,13,Good,18,Good,68,Moderate,33.6318,-117.5988,3
Brazil,Raposos,111,Unhealthy,3,Good,1,Good,9,Good,111,Unhealthy for Sensitive Groups,-19.9669,-43.8039,1
Germany,Raunheim,53,Moderate,1,Good,27,Good,3,Good,53,Moderate,50.0167,8.45,3
Italy,Ravanusa,57,Moderate,2,Good,28,Good,6,Good,57,Moderate,37.2678,13.9697,1
Spain,Reinosa,34,Good,1,Good,34,Good,1,Good,15,Good,43.0019,-4.1378,1
India,Rewa,190,Unhealthy,1,Good,51,Moderate,0,Good,190,Unhealthy,24.53,81.3,8
South Africa,Richards Bay,61,Moderate,1,Good,24,Good,1,Good,61,Moderate,-28.7694,32.0594,7
Portugal,Rio Tinto,28,Good,0,Good,28,Good,2,Good,21,Good,41.178,-8.56,2
Portugal,Rio Tinto,28,Good,0,Good,28,Good,2,Good,21,Good,-6.8028,-35.0808,2
Colombia,Rionegro,71,Moderate,2,Good,7,Good,6,Good,71,Moderate,6.1535,-75.3743,1
United States of America,Rutland,54,Moderate,2,Good,9,Good,5,Good,54,Moderate,43.6092,-72.9783,1
United States of America,Rutland,54,Moderate,2,Good,9,Good,5,Good,54,Moderate,42.3848,-71.9673,1
Colombia,Salamina,65,Moderate,2,Good,6,Good,5,Good,65,Moderate,5.4083,-75.49,1
Latvia,Salaspils,55,Moderate,1,Good,31,Good,1,Good,55,Moderate,56.8667,24.35,1
Thailand,Sam Phran,55,Moderate,1,Good,24,Good,0,Good,55,Moderate,13.727,100.2153,0
Poland,Sanok,77,Moderate,1,Good,39,Good,0,Good,77,Moderate,49.55,22.2167,2
Germany,Schwalmstadt,48,Good,1,Good,25,Good,3,Good,48,Good,50.9333,9.2167,1
Indonesia,Serang,195,Unhealthy,4,Good,195,Unhealthy,3,Good,161,Unhealthy,-6.12,106.1503,29
China,Shangrao,142,Unhealthy,4,Good,142,Unhealthy for Sensitive Groups,2,Good,100,Unhealthy for Sensitive Groups,28.4419,117.9633,5
Republic of Moldova,Orhei,44,Good,1,Good,36,Good,0,Good,44,Good,47.3833,28.8167,0
Brazil,Ortigueira,33,Good,1,Good,12,Good,1,Good,33,Good,-24.2078,-50.9489,1
France,Os,29,Good,0,Good,29,Good,0,Good,14,Good,60.2269,5.4758,0
United States of America,Ottumwa,51,Moderate,1,Good,36,Good,3,Good,51,Moderate,41.0195,-92.4186,1
Nigeria,Owerri,141,Unhealthy,8,Good,16,Good,7,Good,141,Unhealthy for Sensitive Groups,5.4833,7.0333,1
Colombia,Pailitas,53,Moderate,1,Good,6,Good,1,Good,53,Moderate,8.9667,-73.6333,0
Italy,Palombara Sabina,44,Good,1,Good,44,Good,3,Good,37,Good,42.0667,12.7667,1
